CMDLINE C:\Users\jonah\PycharmProjects\WarrenNolanScraper_cloud\.venv\Scripts\python.exe main.py
MEM 48.058594 1737411853.8741
MEM 48.058594 1737411853.9747
MEM 48.058594 1737411854.0753
MEM 48.058594 1737411854.1757
MEM 48.058594 1737411854.2764
MEM 48.058594 1737411854.3770
MEM 48.058594 1737411854.4787
MEM 48.058594 1737411854.5792
MEM 48.058594 1737411854.6798
MEM 48.058594 1737411854.7803
MEM 48.058594 1737411854.8809
MEM 48.058594 1737411854.9815
MEM 48.058594 1737411855.0820
MEM 48.058594 1737411855.1827
MEM 48.058594 1737411855.2832
MEM 48.058594 1737411855.3839
MEM 48.058594 1737411855.4842
MEM 48.058594 1737411855.5846
MEM 48.058594 1737411855.6851
MEM 48.058594 1737411855.7856
MEM 48.058594 1737411855.8864
MEM 48.058594 1737411855.9869
MEM 48.058594 1737411856.0875
MEM 48.058594 1737411856.1883
MEM 48.058594 1737411856.2886
MEM 48.058594 1737411856.3908
MEM 48.058594 1737411856.4914
MEM 48.058594 1737411856.5925
MEM 48.058594 1737411856.6932
MEM 48.058594 1737411856.7938
MEM 48.058594 1737411856.8943
MEM 48.058594 1737411856.9950
MEM 48.058594 1737411857.1080
MEM 48.058594 1737411857.2088
MEM 48.089844 1737411857.3094
MEM 48.089844 1737411857.4101
MEM 48.089844 1737411857.5105
MEM 48.089844 1737411857.6121
MEM 48.089844 1737411857.7124
MEM 48.089844 1737411857.8129
MEM 48.089844 1737411857.9141
MEM 48.089844 1737411858.0144
MEM 48.089844 1737411858.1154
MEM 48.089844 1737411858.2158
MEM 48.089844 1737411858.3163
MEM 48.089844 1737411858.4168
MEM 48.089844 1737411858.5172
MEM 48.089844 1737411858.6177
MEM 48.089844 1737411858.7185
MEM 48.089844 1737411858.8190
MEM 48.089844 1737411858.9196
MEM 48.089844 1737411859.0203
MEM 48.089844 1737411859.1211
MEM 48.089844 1737411859.2216
MEM 48.089844 1737411859.3220
MEM 48.089844 1737411859.4226
MEM 48.089844 1737411859.5233
MEM 48.089844 1737411859.6238
MEM 48.089844 1737411859.7242
MEM 48.089844 1737411859.8246
MEM 48.089844 1737411859.9248
MEM 48.089844 1737411860.0269
MEM 48.089844 1737411860.1274
MEM 48.089844 1737411860.2281
MEM 48.089844 1737411860.3288
MEM 48.089844 1737411860.4295
MEM 48.089844 1737411860.5299
MEM 48.089844 1737411860.6308
MEM 48.089844 1737411860.7312
MEM 48.089844 1737411860.8319
MEM 48.089844 1737411860.9327
MEM 48.089844 1737411861.0333
MEM 48.089844 1737411861.1337
MEM 48.089844 1737411861.2343
MEM 48.089844 1737411861.3349
MEM 48.089844 1737411861.4356
MEM 48.089844 1737411861.5360
MEM 48.089844 1737411861.6370
MEM 48.089844 1737411861.7377
MEM 48.089844 1737411861.8386
MEM 48.089844 1737411861.9393
MEM 48.089844 1737411862.0408
MEM 48.089844 1737411862.1434
MEM 48.089844 1737411862.2439
MEM 48.089844 1737411862.3443
MEM 48.089844 1737411862.4447
MEM 48.089844 1737411862.5453
MEM 48.089844 1737411862.6460
MEM 48.089844 1737411862.7465
MEM 48.089844 1737411862.8471
MEM 48.089844 1737411862.9476
MEM 48.089844 1737411863.0483
MEM 48.089844 1737411863.1489
MEM 48.089844 1737411863.2491
MEM 48.089844 1737411863.3499
MEM 48.089844 1737411863.4507
MEM 48.089844 1737411863.5510
MEM 48.089844 1737411863.6520
MEM 48.089844 1737411863.7525
MEM 48.089844 1737411863.8534
MEM 48.089844 1737411863.9540
MEM 48.089844 1737411864.0546
MEM 48.089844 1737411864.1554
MEM 48.089844 1737411864.2556
MEM 48.089844 1737411864.3634
MEM 48.089844 1737411864.4645
MEM 48.089844 1737411864.5651
MEM 48.089844 1737411864.6657
MEM 48.089844 1737411864.7672
MEM 48.089844 1737411864.8678
MEM 48.089844 1737411864.9680
MEM 48.089844 1737411865.0686
MEM 48.089844 1737411865.1693
MEM 48.089844 1737411865.2698
MEM 48.089844 1737411865.3704
MEM 48.089844 1737411865.4709
MEM 48.089844 1737411865.5716
MEM 48.089844 1737411865.6762
MEM 48.089844 1737411865.7765
MEM 48.089844 1737411865.8770
MEM 48.089844 1737411865.9774
MEM 48.089844 1737411866.0780
MEM 48.089844 1737411866.1785
MEM 48.089844 1737411866.2790
MEM 48.089844 1737411866.3797
MEM 48.089844 1737411866.4804
MEM 48.089844 1737411866.5811
MEM 48.089844 1737411866.6815
MEM 48.089844 1737411866.7818
MEM 48.089844 1737411866.8821
MEM 48.089844 1737411866.9825
MEM 48.089844 1737411867.0830
MEM 48.089844 1737411867.1852
MEM 48.089844 1737411867.2856
